TITLE,DIRECTOR,ACTOR,GENRE,SPECTATORS,RUNTIME,OPENDATE,IMGLINK,MOVIECONTENT
8과 2분의 1,페데리코펠리니,"마르첼로마스트로야니,아누크에메,클라우디아카르디날레","드라마,코미디,환타지",미정,140분,2023.10.04,https://img.cgv.co.kr/Movie/Thumbnail/Poster/000087/87416/87416_1000.jpg,"영화감독 구이도는 어느 날 공중에서 떨어지는 꿈을 꾼다. 대작 SF영화 촬영을 앞두고 정신적, 육체적으로 지쳐있던 그는 온천으로 요양을 가지만 그곳에서도 벗어날 수 없는 문제들이 있다. 펠리니 자신이 “나의 두 번째 데뷔작 혹은 진정한 첫 번째 영화”라 칭한 작품으로, 영화의 제목인 <8½>은 펠리니가 그전까지 만든 영화들의 갯수를 의미한다. 6편의 장편과 두 개의 단편을 각각 1/2로 나누어 1편, 그리고 공동연출작〈다양한 불빛>을 1/2로 간주하여 펠리니 본인이 그때까지 만들었던 영화가 7과 1/2편이고, 이번 영화가 8과 1/2번째 영화라는 뜻이다. 과거와 현재, 꿈과 현실, 환상과 기억이 혼재된 예술가 내면의 혼란을 독백체에 담아 표현하고 있는데, '펠리니적' 영화 세계와 그의 실제 생애가 압축적으로 표현되어있어 한 편의 영상자서전을 보는 듯 한 감상을 주는 작품이다.  1964 아카데미시상식 외국어영화상 및 의상상 수상"
마브카 : 숲의 노래 ,,,,전체관람가,100분,2023.10.18,https://img.cgv.co.kr/Movie/Thumbnail/Poster/000087/87263/87263_1000.jpg,"올가을, 거대한 마법의 숲 문이 열린다!  오랜 전쟁의 끝, 서로의 문을 닫아 버린 마법의 숲과 인간 세상. 숲의 정령이자 대자연의 새로운 수호자, 마브카는 어느 날 순수한 마음을 지닌 인간 청년 루카스와 사랑에 빠진다. 하지만 악당 킬리나는 사랑에 빠진 마브카의 마음을 이용해 숲을 파괴하고 숲의 심장을 차지하려는 음모를 꾸미는데…"
[씨네뮤지엄 Season2.] 루브르 박물관,,,,12세이상관람가,90분,2023.09.27,https://img.cgv.co.kr/Movie/Thumbnail/Poster/000087/87188/87188_1000.jpg,"●콘텐츠명: 별들의 세계, 루브르 박물관 ※루브르 박물관의 대표작들을 중심으로 구성된 미술 강연 프로그램 입니다.  ●상영 등급 : 12세 이상 관람가   ●프로그램 일정 CGV 명동역 씨네라이브러리: 9/27 (수) 19:00~20:30 CGV 명동역 씨네라이브러리: 10/7 (토) 14:00~15:30   ●아트가이드 소개: 이용규 아트가이드 現 트래블레이블 대표 前 유로자전거나라 프랑스 현지 가이드 팀장   ●강연 내용 루브르박물관은 메소포타미아부터 1848년까지의 작품들을 전시하는 곳입니다. 함부라비법전, 밀로의 비너스, 사모트라케의 니케, 다빈치의 모나지라, 베로네제의 가나의 혼인식, 자크루이다비드의 나폴레옹 대관식과 들라크루아의 민중을 이끄는 자유. 루브르 박물관이 자랑하는 대표작들의 이야기를 스크린을 통해 펼쳐봅니다.  주요 작품 메소포타미아 : 함무라비 법전 그리스 : 밀로의 비너스, 사모트라케의 니케 르네상스 : 모나리자, 가나의 혼인식 바로크 : 마리드메디치 연작 신고전주의 : 호라티우스의 맹세, 나폴레옹 대관식 낭만주의 : 메두사호의 뗏목, 민중을 이끄는 자유   "
"여름을 향한 터널, 이별의 출구",타구치토모히사,"스즈카오지,이토요마리에",애니메이션,12세이상관람가,83분,2023.09.14,https://img.cgv.co.kr/Movie/Thumbnail/Poster/000087/87297/87297_1000.jpg,"터널 안 10초, 바깥 세상에선 6시간... 소원을 이루어 주지만 안팎의 시간이 다르게 흐르는 '우라시마 터널'을 발견한 고등학생 '카오루'와 전학생 '안즈'  터널의 비밀을 알아내기 위해 뜨거웠던 여름을 함께 보낸 두 사람은 어느새 서로에게 가장 소중한 존재가 되는데..."
"람빅, 시간과 열정의 맥주",다니엘루이즈,"더크린데만스,아망드벨더,프랭크분,장반로이,카렐고두,피에르틸퀸",다큐멘터리,전체관람가,67분,2023.10.11,https://img.cgv.co.kr/Movie/Thumbnail/Poster/000087/87434/87434_1000.jpg,세계에서 가장 오래된 맥주 람빅은 현재 유일하게 자연 발효 방식으로 양조되는 벨기에 전통 맥주이다. 람빅을 마신다는 것은 600년 역사를 마시는 것! 그 다채롭고 환상적인 풍미를 찾아 떠나는 여행
라라랜드,데이미언셔젤,"라이언고슬링,엠마스톤","드라마,뮤지컬,로맨스,멜로",12세이상관람가,127분,2022.11.25(재개봉),https://img.cgv.co.kr/Movie/Thumbnail/Poster/000087/85672/85672_1000.jpg,"황홀한 사랑, 순수한 희망, 격렬한 열정… 이 곳에서 모든 감정이 폭발한다!  꿈을 꾸는 사람들을 위한 별들의 도시 ‘라라랜드’. 재즈 피아니스트 ‘세바스찬’(라이언 고슬링)과 배우 지망생 ‘미아’(엠마 스톤), 인생에서 가장 빛나는 순간 만난 두 사람은 미완성인 서로의 무대를 만들어가기 시작한다."
라라랜드,데이미언셔젤,"라이언고슬링,엠마스톤","드라마,뮤지컬,로맨스,멜로",12세이상관람가,127분,2022.11.25(재개봉),https://img.cgv.co.kr/Movie/Thumbnail/Poster/000087/85672/85672_1000.jpg,"황홀한 사랑, 순수한 희망, 격렬한 열정… 이 곳에서 모든 감정이 폭발한다!  꿈을 꾸는 사람들을 위한 별들의 도시 ‘라라랜드’. 재즈 피아니스트 ‘세바스찬’(라이언 고슬링)과 배우 지망생 ‘미아’(엠마 스톤), 인생에서 가장 빛나는 순간 만난 두 사람은 미완성인 서로의 무대를 만들어가기 시작한다."
퍼피 구조대-더 마이티 무비,캘런브런커,"정선혜,박지윤,신용우,문남숙,엄상현","애니메이션,어드벤처",전체관람가,93분,2023.10.06,https://img.cgv.co.kr/Movie/Thumbnail/Poster/000087/87360/87360_1000.jpg,"신비한 힘을 가진 유성이 어드벤처 시티에 떨어진 날, 퍼피 구조대는 유성에서 나온 크리스털 덕분에 초능력을 가진 ‘퍼피 히어로즈’로 변신한다. 하지만 악당 ‘험딩어 시장’과 미치광이 과학자 ‘빅토리아’는 초능력의 원천인 크리스털을 빼앗아 어드벤처 시티를 지배하려 하는데..! 작고 약하게 태어났지만 오랫동안 큰 꿈을 키워 온 ‘스카이’와 퍼피 히어로즈는 주니어 구조대원들과 함께 어드벤처 시티를 지켜낼 수 있을까?"
비긴 어게인,존카니,"키이라나이틀리,마크러팔로,애덤리바인,헤일리스테인펠드","로맨스,멜로",15세이상관람가,104분,2022.11.02(재개봉),https://img.cgv.co.kr/Movie/Thumbnail/Poster/000087/77772/77772_1000.jpg,"“다시 시작해, 너를 빛나게 할 노래를!”   싱어송라이터인 ‘그레타’(키이라 나이틀리)는 남자친구 ‘데이브’(애덤 리바인)가 메이저 음반회사와 계약을 하게 되면서 뉴욕으로 오게 된다. 그러나 행복도 잠시, 오랜 연인이자 음악적 파트너로서 함께 노래를 만들고 부르는 것이 좋았던 그레타와 달리 스타가 된 데이브의 마음은 어느새 변해버린다.   스타 음반프로듀서였지만 이제는 해고된 ‘댄’(마크 러팔로)은 미치기 일보직전 들른 뮤직바에서 그레타의 자작곡을 듣게 되고 아직 녹슬지 않은 촉을 살려 음반제작을 제안한다. 거리 밴드를 결성한 그들은 뉴욕의 거리를 스튜디오 삼아 진짜로 부르고 싶었던 노래를 만들어가는데…"
오펜하이머,크리스토퍼놀란,"킬리언머피,에밀리블런트,맷데이먼,로버트다우니주니어,플로렌스퓨,조쉬하트넷,케이시애플렉,라미말렉,케네스브래너","스릴러,드라마",15세이상관람가,180분,2023.08.15,https://img.cgv.co.kr/Movie/Thumbnail/Poster/000087/87175/87175_1000.jpg,"“나는 이제 죽음이요, 세상의 파괴자가 되었다.” 세상을 구하기 위해 세상을 파괴할 지도 모르는 선택을 해야 하는 천재 과학자의 핵개발 프로젝트."
